crim,zn,indus,chas,nox,age,dis,rad,tax,ptratio,b,log_lstat,log_medv,win_rm
0.00632,18.0,2.31,0,0.538,65.2,4.09,1,296,15.3,396.9,1.6054298910365616,1.6054298910365616,6.575
0.02731,0.0,7.07,0,0.469,78.9,4.9671,2,242,17.8,396.9,2.2126603854660587,2.2126603854660587,6.421
0.02729,0.0,7.07,0,0.469,61.1,4.9671,2,242,17.8,392.83,1.3937663759585917,1.3937663759585917,7.185
0.03237,0.0,2.18,0,0.458,45.8,6.0622,3,222,18.7,394.63,1.0784095813505903,1.0784095813505903,6.998
0.06905,0.0,2.18,0,0.458,54.2,6.0622,3,222,18.7,396.9,1.673351238177753,1.673351238177753,7.147
0.02985,0.0,2.18,0,0.458,58.7,6.0622,3,222,18.7,394.12,1.6505798557652755,1.6505798557652755,6.43
0.08829,12.5,7.87,0,0.524,66.6,5.5605,5,311,15.2,395.6,2.5201129055226197,2.5201129055226197,6.012
0.14455,12.5,7.87,0,0.524,96.1,5.9505,5,311,15.2,396.9,2.952302715626655,2.952302715626655,6.172
0.21124,12.5,7.87,0,0.524,100.0,6.0821,5,311,15.2,386.63,3.3988613218646075,3.3988613218646075,5.631
0.17004,12.5,7.87,0,0.524,85.9,6.5921,5,311,15.2,386.71,2.8390784635086144,2.8390784635086144,6.004
0.22489,12.5,7.87,0,0.524,94.3,6.3467,5,311,15.2,392.52,3.017982882488811,3.017982882488811,6.377
0.11747,12.5,7.87,0,0.524,82.9,6.2267,5,311,15.2,396.9,2.5855058483441162,2.5855058483441162,6.009
0.09378,12.5,7.87,0,0.524,39.0,5.4509,5,311,15.2,390.5,2.75429745226753,2.75429745226753,5.889
0.62976,0.0,8.14,0,0.538,61.8,4.7075,4,307,21.0,396.9,2.1114245875328868,2.1114245875328868,5.949
0.63796,0.0,8.14,0,0.538,84.5,4.4619,4,307,21.0,380.02,2.3282528397426234,2.3282528397426234,6.096
0.62739,0.0,8.14,0,0.538,56.5,4.4986,4,307,21.0,395.62,2.136530508663963,2.136530508663963,5.834
1.05393,0.0,8.14,0,0.538,29.3,4.4986,4,307,21.0,386.85,1.884034745337226,1.884034745337226,5.935
0.7842,0.0,8.14,0,0.538,81.7,4.2579,4,307,21.0,386.75,2.6858045921548905,2.6858045921548905,5.99
0.80271,0.0,8.14,0,0.538,36.6,3.7965,4,307,21.0,288.99,2.458733775483977,2.458733775483977,5.456
0.7258,0.0,8.14,0,0.538,69.5,3.7965,4,307,21.0,390.95,2.423031246069913,2.423031246069913,5.727
1.25179,0.0,8.14,0,0.538,98.1,3.7979,4,307,21.0,376.57,3.045474365448805,3.045474365448805,5.57
0.85204,0.0,8.14,0,0.538,89.2,4.0123,4,307,21.0,392.53,2.626840145676667,2.626840145676667,5.965
1.23247,0.0,8.14,0,0.538,91.7,3.9769,4,307,21.0,396.9,2.929592471049446,2.929592471049446,6.142
0.98843,0.0,8.14,0,0.538,100.0,4.0952,4,307,21.0,394.54,2.989714201228428,2.989714201228428,5.813
0.75026,0.0,8.14,0,0.538,94.1,4.3996,4,307,21.0,394.33,2.791165107812717,2.791165107812717,5.924
0.84054,0.0,8.14,0,0.538,85.7,4.4546,4,307,21.0,303.42,2.8039662579320366,2.8039662579320366,5.599
0.67191,0.0,8.14,0,0.538,90.3,4.682,4,307,21.0,376.88,2.6953026282797072,2.6953026282797072,5.813
0.95577,0.0,8.14,0,0.538,88.8,4.4534,4,307,21.0,306.38,2.8495497633759097,2.8495497633759097,6.047
0.77299,0.0,8.14,0,0.538,94.4,4.4547,4,307,21.0,387.94,2.5494451709255714,2.5494451709255714,6.495
1.00245,0.0,8.14,0,0.538,87.3,4.239,4,307,21.0,380.23,2.4832385926873033,2.4832385926873033,6.674
1.13081,0.0,8.14,0,0.538,94.1,4.233,4,307,21.0,360.17,3.1179499062782403,3.1179499062782403,5.713
1.35472,0.0,8.14,0,0.538,100.0,4.175,4,307,21.0,376.73,2.5680215564985067,2.5680215564985067,6.072
1.38799,0.0,8.14,0,0.538,82.0,3.99,4,307,21.0,232.6,3.321793358874887,3.321793358874887,5.95
1.15172,0.0,8.14,0,0.538,95.0,3.7872,4,307,21.0,358.77,2.9096295745005794,2.9096295745005794,5.701
1.61282,0.0,8.14,0,0.538,96.9,3.7598,4,307,21.0,248.31,3.012589390620414,3.012589390620414,6.096
0.06417,0.0,5.96,0,0.499,68.2,3.3603,5,279,19.2,396.9,2.2700619012884857,2.2700619012884857,5.933
0.09744,0.0,5.96,0,0.499,61.4,3.3779,5,279,19.2,377.56,2.4344901638739844,2.4344901638739844,5.841
0.08014,0.0,5.96,0,0.499,41.5,3.9342,5,279,19.2,396.9,2.1713368063840917,2.1713368063840917,5.85
0.17505,0.0,5.96,0,0.499,30.2,3.8473,5,279,19.2,393.43,2.315501318260592,2.315501318260592,5.966
0.02763,75.0,2.95,0,0.428,21.8,5.4011,3,252,18.3,395.63,1.463255402256019,1.463255402256019,6.595
0.03359,75.0,2.95,0,0.428,15.8,5.4011,3,252,18.3,395.62,0.6830968447064438,0.6830968447064438,7.024
0.12744,0.0,6.91,0,0.448,2.9,5.7209,3,233,17.9,385.41,1.5769147207285403,1.5769147207285403,6.77
0.1415,0.0,6.91,0,0.448,6.6,5.7209,3,233,17.9,383.37,1.7595805708638197,1.7595805708638197,6.169
0.15936,0.0,6.91,0,0.448,6.5,5.7209,3,233,17.9,394.46,2.0068708488450007,2.0068708488450007,6.211
0.12269,0.0,6.91,0,0.448,40.0,5.7209,3,233,17.9,389.39,2.256541154492639,2.256541154492639,6.069
0.17142,0.0,6.91,0,0.448,33.8,5.1004,3,233,17.9,396.9,2.3233676321765744,2.3233676321765744,5.682
0.18836,0.0,6.91,0,0.448,33.3,5.1004,3,233,17.9,396.9,2.649714624089247,2.649714624089247,5.786
0.22927,0.0,6.91,0,0.448,85.5,5.6894,3,233,17.9,392.74,2.9338568698359038,2.9338568698359038,6.03
0.25387,0.0,6.91,0,0.448,95.3,5.87,3,233,17.9,396.9,3.4278393126085764,3.4278393126085764,5.399
0.21977,0.0,6.91,0,0.448,62.0,6.0877,3,233,17.9,396.9,2.785011242238338,2.785011242238338,5.602
0.08873,21.0,5.64,0,0.439,45.7,6.8147,4,243,16.8,395.56,2.598979106047848,2.598979106047848,5.963
0.04337,21.0,5.64,0,0.439,63.0,6.8147,4,243,16.8,393.97,2.2438960966453663,2.2438960966453663,6.115
0.0536,21.0,5.64,0,0.439,21.1,6.8147,4,243,16.8,396.9,1.6639260977181702,1.6639260977181702,6.511
0.04981,21.0,5.64,0,0.439,21.4,6.8147,4,243,16.8,396.9,2.131796772013764,2.131796772013764,5.998
0.0136,75.0,4.0,0,0.41,47.6,7.3197,3,469,21.1,396.9,2.6946271807700692,2.6946271807700692,5.888
0.01311,90.0,1.22,0,0.403,21.9,8.6966,5,226,17.9,395.93,1.5706970841176697,1.5706970841176697,7.249
0.02055,85.0,0.74,0,0.41,35.7,9.1876,2,313,17.3,396.9,1.7526720805200082,1.7526720805200082,6.383
0.01432,100.0,1.32,0,0.411,40.5,8.3248,5,256,15.1,392.9,1.3737155789130306,1.3737155789130306,6.816
0.15445,25.0,5.13,0,0.453,29.2,7.8148,8,284,19.7,390.68,1.925707441737794,1.925707441737794,6.145
0.10328,25.0,5.13,0,0.453,47.2,6.932,8,284,19.7,396.9,2.2213750375685026,2.2213750375685026,5.927
0.14932,25.0,5.13,0,0.453,66.2,7.2254,8,284,19.7,395.11,2.5764217586237734,2.5764217586237734,5.741
0.17171,25.0,5.13,0,0.453,93.4,6.8185,8,284,19.7,378.08,2.67000213346468,2.67000213346468,5.966
0.11027,25.0,5.13,0,0.453,67.8,7.2255,8,284,19.7,396.9,1.9065751436566365,1.9065751436566365,6.456
0.1265,25.0,5.13,0,0.453,43.4,7.9809,8,284,19.7,395.58,2.2512917986064953,2.2512917986064953,6.762
0.01951,17.5,1.38,0,0.4161,59.5,9.2229,3,216,18.6,393.24,2.0856720914304723,2.0856720914304723,7.104
0.03584,80.0,3.37,0,0.398,17.8,6.6115,4,337,16.1,396.9,1.541159071680806,1.541159071680806,6.29
0.04379,80.0,3.37,0,0.398,31.1,6.6115,4,337,16.1,396.9,2.3263016196113617,2.3263016196113617,5.787
0.05789,12.5,6.07,0,0.409,21.4,6.498,4,345,18.9,396.21,2.0918640616783932,2.0918640616783932,5.878
0.13554,12.5,6.07,0,0.409,36.8,6.498,4,345,18.9,396.9,2.5718485799218085,2.5718485799218085,5.594
0.12816,12.5,6.07,0,0.409,33.0,6.498,4,345,18.9,396.9,2.1736147116970854,2.1736147116970854,5.885
0.08826,0.0,10.81,0,0.413,6.6,5.2873,4,305,19.2,383.73,1.9050881545350582,1.9050881545350582,6.417
0.15876,0.0,10.81,0,0.413,17.5,5.2873,4,305,19.2,376.94,2.2905125117597764,2.2905125117597764,5.961
0.09164,0.0,10.81,0,0.413,7.8,5.2873,4,305,19.2,390.91,1.7083778602890038,1.7083778602890038,6.065
0.19539,0.0,10.81,0,0.413,6.2,5.2873,4,305,19.2,377.17,2.020222182019865,2.020222182019865,6.245
0.07896,0.0,12.83,0,0.437,6.0,4.2515,5,398,18.7,394.92,1.9139771019523042,1.9139771019523042,6.273
0.09512,0.0,12.83,0,0.437,45.0,4.5026,5,398,18.7,383.23,2.190535589185423,2.190535589185423,6.286
0.10153,0.0,12.83,0,0.437,74.5,4.0522,5,398,18.7,373.66,2.482403519569882,2.482403519569882,6.279
0.08707,0.0,12.83,0,0.437,45.8,4.0905,5,398,18.7,386.96,2.329227023940467,2.329227023940467,6.14
0.05646,0.0,12.83,0,0.437,53.7,5.0141,5,398,18.7,386.4,2.5128460184772416,2.5128460184772416,6.232
0.08387,0.0,12.83,0,0.437,36.6,4.5026,5,398,18.7,396.06,2.2082744135228043,2.2082744135228043,5.874
0.04113,25.0,4.86,0,0.426,33.5,5.4007,4,281,19.0,396.9,1.665818245870208,1.665818245870208,6.727
0.04462,25.0,4.86,0,0.426,70.4,5.4007,4,281,19.0,395.63,1.9768549529047348,1.9768549529047348,6.619
0.03659,25.0,4.86,0,0.426,32.2,5.4007,4,281,19.0,396.9,1.9050881545350582,1.9050881545350582,6.302
0.03551,25.0,4.86,0,0.426,46.7,5.4007,4,281,19.0,390.64,2.0162354657760435,2.0162354657760435,6.167
0.05059,0.0,4.49,0,0.449,48.0,4.7794,3,247,18.5,396.9,2.263844264677615,2.263844264677615,6.389
0.05735,0.0,4.49,0,0.449,56.1,4.4377,3,247,18.5,392.3,1.8764069432883397,1.8764069432883397,6.63
0.05188,0.0,4.49,0,0.449,45.1,4.4272,3,247,18.5,395.99,2.554121718809473,2.554121718809473,6.015
0.07151,0.0,4.49,0,0.449,56.8,3.7476,3,247,18.5,395.15,2.1329823086078656,2.1329823086078656,6.121
0.0566,0.0,3.41,0,0.489,86.3,3.4217,2,270,17.8,396.9,1.7047480922384253,1.7047480922384253,7.007
0.05302,0.0,3.41,0,0.489,63.1,3.4145,2,270,17.8,396.06,1.7404661748405046,1.7404661748405046,7.079
0.04684,0.0,3.41,0,0.489,66.1,3.0923,2,270,17.8,392.18,2.175887439948088,2.175887439948088,6.417
0.03932,0.0,3.41,0,0.489,73.9,3.0921,2,270,17.8,393.55,2.1041341542702074,2.1041341542702074,6.405
0.04203,28.0,15.04,0,0.464,53.6,3.6659,4,270,18.2,395.01,2.0992441689760155,2.0992441689760155,6.442
0.02875,28.0,15.04,0,0.464,28.9,3.6659,4,270,18.2,396.33,1.8261608959453874,1.8261608959453874,6.211
0.04294,28.0,15.04,0,0.464,77.3,3.615,4,270,18.2,396.9,2.359910159613315,2.359910159613315,6.249
0.12204,0.0,2.89,0,0.445,57.8,3.4952,2,276,18.0,357.98,1.8946168546677629,1.8946168546677629,6.625
0.11504,0.0,2.89,0,0.445,69.6,3.4952,2,276,18.0,391.83,2.428336298299606,2.428336298299606,6.163
0.12083,0.0,2.89,0,0.445,76.0,3.4952,2,276,18.0,396.9,1.43746264769429,1.43746264769429,7.61
0.08187,0.0,2.89,0,0.445,36.9,3.4952,2,276,18.0,393.53,1.2725655957915476,1.2725655957915476,7.61
0.0686,0.0,2.89,0,0.445,62.5,3.4952,2,276,18.0,396.9,1.8229350866965048,1.8229350866965048,7.416
0.14866,0.0,8.56,0,0.52,79.9,2.7778,5,384,20.9,394.76,2.2428350885882717,2.2428350885882717,6.727
0.11432,0.0,8.56,0,0.52,71.3,2.8561,5,384,20.9,395.58,2.0373166153791646,2.0373166153791646,6.781
0.22876,0.0,8.56,0,0.52,85.4,2.7147,5,384,20.9,70.8,2.363680192353857,2.363680192353857,6.405
0.21161,0.0,8.56,0,0.52,87.4,2.7147,5,384,20.9,394.47,2.5982353350950036,2.5982353350950036,6.137
0.1396,0.0,8.56,0,0.52,90.0,2.421,5,384,20.9,392.69,2.512035317176253,2.512035317176253,6.167
0.13262,0.0,8.56,0,0.52,96.7,2.1069,5,384,20.9,394.05,2.8015405441895487,2.8015405441895487,5.851
0.1712,0.0,8.56,0,0.52,91.9,2.211,5,384,20.9,395.67,2.926382195419198,2.926382195419198,5.836
0.13117,0.0,8.56,0,0.52,85.2,2.1224,5,384,20.9,387.69,2.645465325910589,2.645465325910589,6.127
0.12802,0.0,8.56,0,0.52,97.1,2.4329,5,384,20.9,395.24,2.50715725872282,2.50715725872282,6.474
0.26363,0.0,8.56,0,0.52,91.2,2.5451,5,384,20.9,391.23,2.744060638625243,2.744060638625243,6.229
0.10793,0.0,8.56,0,0.52,54.4,2.7778,5,384,20.9,393.49,2.5649493574615367,2.5649493574615367,6.195
0.10084,0.0,10.01,0,0.547,81.6,2.6775,6,432,17.8,395.59,2.318458442150336,2.318458442150336,6.715
0.12329,0.0,10.01,0,0.547,92.9,2.3534,6,432,17.8,394.95,2.785628335747585,2.785628335747585,5.913
0.22212,0.0,10.01,0,0.547,95.4,2.548,6,432,17.8,396.9,2.8384934971274993,2.8384934971274993,6.092
0.14231,0.0,10.01,0,0.547,84.2,2.2565,6,432,17.8,388.74,2.34660197841082,2.34660197841082,6.254
0.17134,0.0,10.01,0,0.547,88.2,2.4631,6,432,17.8,344.91,2.757475084429733,2.757475084429733,5.928
0.13158,0.0,10.01,0,0.547,72.5,2.7301,6,432,17.8,393.3,2.488234439880675,2.488234439880675,6.176
0.15098,0.0,10.01,0,0.547,82.6,2.7474,6,432,17.8,394.51,2.33214389523559,2.33214389523559,6.021
0.13058,0.0,10.01,0,0.547,73.1,2.4775,6,432,17.8,338.63,2.7324175575505043,2.7324175575505043,5.872
0.14476,0.0,10.01,0,0.547,65.2,2.7592,6,432,17.8,391.5,2.6108048166633746,2.6108048166633746,5.731
0.06899,0.0,25.65,0,0.581,69.7,2.2577,2,188,19.1,389.15,2.6651427000909336,2.6651427000909336,5.87
0.07165,0.0,25.65,0,0.581,84.1,2.1974,2,188,19.1,377.67,2.658159431488745,2.658159431488745,6.004
0.09299,0.0,25.65,0,0.581,92.9,2.0869,2,188,19.1,378.09,2.8864752876170416,2.8864752876170416,5.961
0.15038,0.0,25.65,0,0.581,97.0,1.9444,2,188,19.1,370.31,3.2351427973320726,3.2351427973320726,5.856
0.09849,0.0,25.65,0,0.581,95.8,2.0063,2,188,19.1,379.38,2.866761892257031,2.866761892257031,5.879
0.16902,0.0,25.65,0,0.581,88.4,1.9929,2,188,19.1,385.02,2.6953026282797072,2.6953026282797072,5.986
0.38735,0.0,25.65,0,0.581,95.6,1.7572,2,188,19.1,359.29,3.3054204262683866,3.3054204262683866,5.613
0.25915,0.0,21.89,0,0.624,96.0,1.7883,4,437,21.2,392.11,2.844327819394758,2.844327819394758,5.693
0.32543,0.0,21.89,0,0.624,98.8,1.8125,4,437,21.2,396.9,2.733717947850788,2.733717947850788,6.431
0.88125,0.0,21.89,0,0.624,94.7,1.9799,4,437,21.2,396.9,2.9090844668283187,2.9090844668283187,5.637
0.34006,0.0,21.89,0,0.624,98.9,2.1185,4,437,21.2,395.04,2.533696813957432,2.533696813957432,6.458
1.19294,0.0,21.89,0,0.624,97.7,2.271,4,437,21.2,396.9,2.506341930508065,2.506341930508065,6.326
0.59005,0.0,21.89,0,0.624,97.9,2.3274,4,437,21.2,385.76,2.4087452888224363,2.4087452888224363,6.372
0.32982,0.0,21.89,0,0.624,95.4,2.4699,4,437,21.2,388.69,2.710048203764883,2.710048203764883,5.822
0.97617,0.0,21.89,0,0.624,98.4,2.346,4,437,21.2,262.76,2.851284369188118,2.851284369188118,5.757
0.55778,0.0,21.89,0,0.624,98.2,2.1107,4,437,21.2,394.67,2.830857630363757,2.830857630363757,6.335
0.32264,0.0,21.89,0,0.624,93.5,1.9669,4,437,21.2,378.25,2.8273136219290276,2.8273136219290276,5.942
0.35233,0.0,21.89,0,0.624,98.4,1.8498,4,437,21.2,394.08,2.6803363625346943,2.6803363625346943,6.454
0.2498,0.0,21.89,0,0.624,98.2,1.6686,4,437,21.2,392.04,3.0596455992976437,3.0596455992976437,5.857
0.54452,0.0,21.89,0,0.624,97.9,1.6687,4,437,21.2,396.9,2.9156062290747062,2.9156062290747062,6.151
0.2909,0.0,21.89,0,0.624,93.6,1.6119,4,437,21.2,388.08,3.184698373066614,3.184698373066614,6.174
1.62864,0.0,21.89,0,0.624,100.0,1.4394,4,437,21.2,396.9,3.538347219809389,3.538347219809389,5.304
3.32105,0.0,19.58,1,0.871,100.0,1.3216,5,403,14.7,396.9,3.2891478778535324,3.2891478778535324,5.403
4.0974,0.0,19.58,0,0.871,100.0,1.4118,5,403,14.7,396.9,3.2741212990941793,3.2741212990941793,5.468
2.77974,0.0,19.58,0,0.871,97.8,1.3459,5,403,14.7,396.9,3.377246160839642,3.377246160839642,5.304
2.37934,0.0,19.58,0,0.871,100.0,1.4191,5,403,14.7,172.91,3.3250360206965914,3.3250360206965914,6.13
2.15505,0.0,19.58,0,0.871,100.0,1.5166,5,403,14.7,169.27,2.8124102164264526,2.8124102164264526,5.628
2.36862,0.0,19.58,0,0.871,95.7,1.4608,5,403,14.7,391.71,3.3854066957558313,3.3854066957558313,5.304
2.33099,0.0,19.58,0,0.871,93.8,1.5296,5,403,14.7,356.99,3.343568268825519,3.343568268825519,5.304
2.73397,0.0,19.58,0,0.871,94.9,1.5257,5,403,14.7,351.85,3.065724645374026,3.065724645374026,5.597
1.6566,0.0,19.58,0,0.871,97.3,1.618,5,403,14.7,372.8,2.6461747973841225,2.6461747973841225,6.122
1.49632,0.0,19.58,0,0.871,100.0,1.5916,5,403,14.7,341.6,2.5862591440482876,2.5862591440482876,5.404
1.12658,0.0,19.58,1,0.871,88.0,1.6102,5,403,14.7,343.28,2.4948569806411682,2.4948569806411682,5.304
2.14918,0.0,19.58,0,0.871,98.5,1.6232,5,403,14.7,261.95,2.7593768282675506,2.7593768282675506,5.709
1.41385,0.0,19.58,1,0.871,96.0,1.7494,5,403,14.7,321.02,2.716018370751387,2.716018370751387,6.129
3.53501,0.0,19.58,1,0.871,82.6,1.7455,5,403,14.7,88.01,2.7093826463359885,2.7093826463359885,6.152
2.44668,0.0,19.58,0,0.871,94.0,1.7364,5,403,14.7,88.63,2.7813006628418027,2.7813006628418027,5.304
1.22358,0.0,19.58,0,0.605,97.4,1.8773,5,403,14.7,363.43,1.5238800240724537,1.5238800240724537,6.943
1.34284,0.0,19.58,0,0.605,100.0,1.7573,5,403,14.7,353.89,1.860974538249528,1.860974538249528,6.066
1.42502,0.0,19.58,0,0.871,100.0,1.7659,5,403,14.7,364.31,2.0001277349601105,2.0001277349601105,6.51
1.27346,0.0,19.58,1,0.605,92.6,1.7984,5,403,14.7,338.92,1.7047480922384253,1.7047480922384253,6.25
1.46336,0.0,19.58,0,0.605,90.8,1.9709,5,403,14.7,374.43,0.5481214085096876,0.5481214085096876,7.489
1.83377,0.0,19.58,1,0.605,98.2,2.0407,5,403,14.7,389.61,0.6523251860396901,0.6523251860396901,7.61
1.51902,0.0,19.58,1,0.605,93.9,2.162,5,403,14.7,388.45,1.199964782928397,1.199964782928397,7.61
2.24236,0.0,19.58,0,0.605,91.8,2.422,5,403,14.7,395.11,2.454447442303292,2.454447442303292,5.854
2.924,0.0,19.58,0,0.605,93.0,2.2834,5,403,14.7,240.16,2.2834022735772717,2.2834022735772717,6.101
2.01019,0.0,19.58,0,0.605,96.2,2.0459,5,403,14.7,369.3,1.308332819650179,1.308332819650179,7.61
1.80028,0.0,19.58,0,0.605,79.2,2.4259,5,403,14.7,227.61,2.4965057856313524,2.4965057856313524,5.877
